Episode,Average_Reward
1,0.0000
2,0.0000
3,0.3333
4,0.2500
5,0.2000
6,0.1667
7,0.1429
8,0.1250
9,0.1111
10,0.1000
11,0.0909
12,0.0833
13,0.0769
14,0.0714
15,0.0667
16,0.0625
17,0.0588
18,0.0556
19,0.0526
20,0.0500
21,0.0476
22,0.0455
23,0.0435
24,0.0417
25,0.0400
26,0.0385
27,0.0370
28,0.0357
29,0.0345
30,0.0333
31,0.0323
32,0.0312
33,0.0303
34,0.0294
35,0.0286
36,0.0278
37,0.0270
38,0.0263
39,0.0256
40,0.0250
41,0.0244
42,0.0238
43,0.0233
44,0.0227
45,0.0222
46,0.0217
47,0.0213
48,0.0208
49,0.0204
50,0.0200
51,0.0196
52,0.0192
53,0.0189
54,0.0370
55,0.0364
56,0.0357
57,0.0351
58,0.0345
59,0.0339
60,0.0333
61,0.0328
62,0.0323
63,0.0317
64,0.0312
65,0.0308
66,0.0303
67,0.0299
68,0.0441
69,0.0435
70,0.0429
71,0.0423
72,0.0417
73,0.0411
74,0.0405
75,0.0400
76,0.0395
77,0.0390
78,0.0385
79,0.0380
80,0.0375
81,0.0370
82,0.0366
83,0.0361
84,0.0357
85,0.0353
86,0.0349
87,0.0345
88,0.0341
89,0.0337
90,0.0333
91,0.0330
92,0.0326
93,0.0323
94,0.0319
95,0.0316
96,0.0312
97,0.0309
98,0.0306
99,0.0303
100,0.0300
101,0.0297
102,0.0294
103,0.0291
104,0.0288
105,0.0286
106,0.0283
107,0.0280
108,0.0278
109,0.0275
110,0.0273
111,0.0270
112,0.0268
113,0.0265
114,0.0263
115,0.0261
116,0.0259
117,0.0256
118,0.0254
119,0.0252
120,0.0250
121,0.0248
122,0.0246
123,0.0244
124,0.0242
125,0.0240
126,0.0238
127,0.0236
128,0.0234
129,0.0233
130,0.0308
131,0.0305
132,0.0303
133,0.0301
134,0.0299
135,0.0296
136,0.0294
137,0.0292
138,0.0290
139,0.0288
140,0.0286
141,0.0284
142,0.0282
143,0.0280
144,0.0278
145,0.0276
146,0.0274
147,0.0272
148,0.0270
149,0.0268
150,0.0267
151,0.0265
152,0.0263
153,0.0261
154,0.0260
155,0.0258
156,0.0256
157,0.0255
158,0.0253
159,0.0252
160,0.0250
161,0.0248
162,0.0247
163,0.0245
164,0.0244
165,0.0242
166,0.0241
167,0.0240
168,0.0238
169,0.0237
170,0.0235
171,0.0234
172,0.0233
173,0.0231
174,0.0230
175,0.0229
176,0.0227
177,0.0226
178,0.0225
179,0.0223
180,0.0222
181,0.0221
182,0.0220
183,0.0219
184,0.0217
185,0.0216
186,0.0215
187,0.0214
188,0.0213
189,0.0212
190,0.0211
191,0.0209
192,0.0208
193,0.0207
194,0.0206
195,0.0205
196,0.0204
197,0.0203
198,0.0202
199,0.0201
200,0.0200
201,0.0199
202,0.0198
203,0.0197
204,0.0196
205,0.0195
206,0.0194
207,0.0193
208,0.0192
209,0.0191
210,0.0190
211,0.0190
212,0.0189
213,0.0188
214,0.0187
215,0.0186
216,0.0185
217,0.0184
218,0.0183
219,0.0183
220,0.0182
221,0.0181
222,0.0180
223,0.0179
224,0.0179
225,0.0178
226,0.0177
227,0.0176
228,0.0175
229,0.0175
230,0.0174
231,0.0173
232,0.0172
233,0.0172
234,0.0171
235,0.0170
236,0.0169
237,0.0169
238,0.0168
239,0.0167
240,0.0167
241,0.0166
242,0.0165
243,0.0165
244,0.0164
245,0.0163
246,0.0163
247,0.0162
248,0.0161
249,0.0161
250,0.0160
251,0.0159
252,0.0159
253,0.0158
254,0.0157
255,0.0157
256,0.0156
257,0.0156
258,0.0155
259,0.0154
260,0.0154
261,0.0153
262,0.0153
263,0.0152
264,0.0152
265,0.0151
266,0.0150
267,0.0150
268,0.0149
269,0.0149
270,0.0148
271,0.0148
272,0.0147
273,0.0147
274,0.0146
275,0.0145
276,0.0145
277,0.0144
278,0.0144
279,0.0143
280,0.0143
281,0.0142
282,0.0142
283,0.0141
284,0.0141
285,0.0140
286,0.0140
287,0.0139
288,0.0139
289,0.0138
290,0.0138
291,0.0137
292,0.0137
293,0.0137
294,0.0136
295,0.0136
296,0.0135
297,0.0135
298,0.0134
299,0.0134
300,0.0133
301,0.0133
302,0.0132
303,0.0132
304,0.0132
305,0.0131
306,0.0131
307,0.0130
308,0.0130
309,0.0129
310,0.0129
311,0.0129
312,0.0128
313,0.0128
314,0.0127
315,0.0127
316,0.0127
317,0.0126
318,0.0126
319,0.0125
320,0.0125
321,0.0125
322,0.0124
323,0.0124
324,0.0123
325,0.0123
326,0.0123
327,0.0122
328,0.0122
329,0.0122
330,0.0121
331,0.0121
332,0.0120
333,0.0120
334,0.0120
335,0.0119
336,0.0119
337,0.0119
338,0.0118
339,0.0118
340,0.0118
341,0.0117
342,0.0117
343,0.0117
344,0.0116
345,0.0116
346,0.0116
347,0.0115
348,0.0115
349,0.0115
350,0.0114
351,0.0114
352,0.0114
353,0.0113
354,0.0113
355,0.0113
356,0.0112
357,0.0112
358,0.0140
359,0.0139
360,0.0139
361,0.0139
362,0.0138
363,0.0138
364,0.0137
365,0.0137
366,0.0137
367,0.0136
368,0.0136
369,0.0136
370,0.0135
371,0.0135
372,0.0134
373,0.0134
374,0.0134
375,0.0133
376,0.0133
377,0.0133
378,0.0132
379,0.0132
380,0.0132
381,0.0131
382,0.0131
383,0.0131
384,0.0130
385,0.0130
386,0.0130
387,0.0129
388,0.0129
389,0.0129
390,0.0128
391,0.0128
392,0.0128
393,0.0127
394,0.0127
395,0.0127
396,0.0126
397,0.0126
398,0.0126
399,0.0125
400,0.0125
401,0.0125
402,0.0124
403,0.0124
404,0.0124
405,0.0123
406,0.0123
407,0.0123
408,0.0123
409,0.0122
410,0.0122
411,0.0122
412,0.0121
413,0.0121
414,0.0121
415,0.0120
416,0.0120
417,0.0120
418,0.0120
419,0.0119
420,0.0119
421,0.0119
422,0.0118
423,0.0118
424,0.0118
425,0.0118
426,0.0117
427,0.0117
428,0.0117
429,0.0117
430,0.0116
431,0.0116
432,0.0116
433,0.0115
434,0.0115
435,0.0115
436,0.0115
437,0.0114
438,0.0114
439,0.0114
440,0.0114
441,0.0113
442,0.0113
443,0.0113
444,0.0113
445,0.0112
446,0.0112
447,0.0112
448,0.0112
449,0.0111
450,0.0111
451,0.0111
452,0.0111
453,0.0110
454,0.0110
455,0.0110
456,0.0110
457,0.0109
458,0.0109
459,0.0109
460,0.0109
461,0.0108
462,0.0108
463,0.0108
464,0.0108
465,0.0108
466,0.0107
467,0.0107
468,0.0107
469,0.0107
470,0.0106
471,0.0106
472,0.0106
473,0.0106
474,0.0105
475,0.0105
476,0.0105
477,0.0105
478,0.0105
479,0.0104
480,0.0104
481,0.0104
482,0.0104
483,0.0104
484,0.0103
485,0.0103
486,0.0103
487,0.0103
488,0.0102
489,0.0102
490,0.0102
491,0.0102
492,0.0102
493,0.0101
494,0.0101
495,0.0121
496,0.0121
497,0.0121
498,0.0120
499,0.0120
500,0.0120
501,0.0120
502,0.0120
503,0.0119
504,0.0119
505,0.0119
506,0.0119
507,0.0118
508,0.0118
509,0.0118
510,0.0118
511,0.0117
512,0.0117
513,0.0117
514,0.0117
515,0.0117
516,0.0116
517,0.0116
518,0.0116
519,0.0116
520,0.0115
521,0.0115
522,0.0115
523,0.0134
524,0.0134
525,0.0133
526,0.0133
527,0.0133
528,0.0133
529,0.0132
530,0.0132
531,0.0132
532,0.0132
533,0.0131
534,0.0131
535,0.0131
536,0.0131
537,0.0130
538,0.0130
539,0.0130
540,0.0130
541,0.0129
542,0.0129
543,0.0129
544,0.0129
545,0.0128
546,0.0128
547,0.0128
548,0.0128
549,0.0128
550,0.0127
551,0.0127
552,0.0127
553,0.0127
554,0.0126
555,0.0126
556,0.0126
557,0.0126
558,0.0125
559,0.0125
560,0.0125
561,0.0125
562,0.0125
563,0.0124
564,0.0124
565,0.0124
566,0.0124
567,0.0123
568,0.0123
569,0.0123
570,0.0123
571,0.0123
572,0.0122
573,0.0122
574,0.0122
575,0.0122
576,0.0122
577,0.0121
578,0.0121
579,0.0121
580,0.0121
581,0.0120
582,0.0120
583,0.0120
584,0.0120
585,0.0120
586,0.0119
587,0.0119
588,0.0119
589,0.0119
590,0.0119
591,0.0118
592,0.0118
593,0.0118
594,0.0118
595,0.0118
596,0.0117
597,0.0117
598,0.0117
599,0.0117
600,0.0117
601,0.0116
602,0.0116
603,0.0116
604,0.0116
605,0.0116
606,0.0116
607,0.0115
608,0.0115
609,0.0115
610,0.0115
611,0.0115
612,0.0114
613,0.0114
614,0.0114
615,0.0114
616,0.0114
617,0.0113
618,0.0113
619,0.0113
620,0.0113
621,0.0113
622,0.0113
623,0.0112
624,0.0112
625,0.0112
626,0.0112
627,0.0112
628,0.0111
629,0.0111
630,0.0111
631,0.0111
632,0.0111
633,0.0111
634,0.0110
635,0.0110
636,0.0110
637,0.0110
638,0.0110
639,0.0110
640,0.0109
641,0.0109
642,0.0109
643,0.0109
644,0.0109
645,0.0109
646,0.0108
647,0.0108
648,0.0108
649,0.0108
650,0.0108
651,0.0108
652,0.0107
653,0.0107
654,0.0107
655,0.0107
656,0.0107
657,0.0107
658,0.0106
659,0.0106
660,0.0106
661,0.0106
662,0.0106
663,0.0106
664,0.0105
665,0.0105
666,0.0105
667,0.0105
668,0.0105
669,0.0105
670,0.0104
671,0.0104
672,0.0104
673,0.0104
674,0.0104
675,0.0104
676,0.0104
677,0.0103
678,0.0103
679,0.0103
680,0.0103
681,0.0103
682,0.0103
683,0.0102
684,0.0102
685,0.0102
686,0.0102
687,0.0102
688,0.0102
689,0.0102
690,0.0101
691,0.0101
692,0.0101
693,0.0101
694,0.0115
695,0.0115
696,0.0115
697,0.0115
698,0.0115
699,0.0114
700,0.0114
701,0.0114
702,0.0114
703,0.0114
704,0.0114
705,0.0113
706,0.0113
707,0.0113
708,0.0113
709,0.0113
710,0.0113
711,0.0113
712,0.0112
713,0.0112
714,0.0112
715,0.0112
716,0.0112
717,0.0112
718,0.0125
719,0.0125
720,0.0125
721,0.0125
722,0.0125
723,0.0124
724,0.0124
725,0.0124
726,0.0124
727,0.0124
728,0.0124
729,0.0123
730,0.0123
731,0.0123
732,0.0123
733,0.0123
734,0.0123
735,0.0122
736,0.0122
737,0.0122
738,0.0122
739,0.0122
740,0.0122
741,0.0135
742,0.0135
743,0.0135
744,0.0134
745,0.0134
746,0.0134
747,0.0134
748,0.0134
749,0.0134
750,0.0133
751,0.0133
752,0.0133
753,0.0133
754,0.0133
755,0.0132
756,0.0132
757,0.0132
758,0.0132
759,0.0132
760,0.0132
761,0.0131
762,0.0131
763,0.0131
764,0.0131
765,0.0131
766,0.0131
767,0.0130
768,0.0130
769,0.0130
770,0.0130
771,0.0130
772,0.0130
773,0.0129
774,0.0129
775,0.0129
776,0.0129
777,0.0129
778,0.0129
779,0.0128
780,0.0128
781,0.0128
782,0.0128
783,0.0128
784,0.0128
785,0.0127
786,0.0127
787,0.0127
788,0.0127
789,0.0127
790,0.0127
791,0.0126
792,0.0126
793,0.0126
794,0.0126
795,0.0126
796,0.0126
797,0.0138
798,0.0138
799,0.0138
800,0.0138
801,0.0137
802,0.0137
803,0.0137
804,0.0137
805,0.0137
806,0.0136
807,0.0136
808,0.0136
809,0.0136
810,0.0136
811,0.0136
812,0.0135
813,0.0135
814,0.0135
815,0.0135
816,0.0135
817,0.0135
818,0.0134
819,0.0134
820,0.0134
821,0.0134
822,0.0134
823,0.0134
824,0.0133
825,0.0133
826,0.0133
827,0.0133
828,0.0133
829,0.0133
830,0.0133
831,0.0132
832,0.0132
833,0.0132
834,0.0132
835,0.0132
836,0.0132
837,0.0131
838,0.0131
839,0.0131
840,0.0131
841,0.0131
842,0.0131
843,0.0130
844,0.0130
845,0.0130
846,0.0130
847,0.0130
848,0.0130
849,0.0130
850,0.0129
851,0.0129
852,0.0129
853,0.0129
854,0.0129
855,0.0129
856,0.0129
857,0.0128
858,0.0128
859,0.0128
860,0.0128
861,0.0128
862,0.0128
863,0.0127
864,0.0127
865,0.0127
866,0.0127
867,0.0127
868,0.0127
869,0.0127
870,0.0126
871,0.0126
872,0.0126
873,0.0126
874,0.0126
875,0.0126
876,0.0126
877,0.0125
878,0.0125
879,0.0125
880,0.0125
881,0.0125
882,0.0125
883,0.0125
884,0.0124
885,0.0124
886,0.0124
887,0.0135
888,0.0135
889,0.0135
890,0.0135
891,0.0135
892,0.0135
893,0.0134
894,0.0134
895,0.0134
896,0.0134
897,0.0134
898,0.0134
899,0.0133
900,0.0133
901,0.0133
902,0.0133
903,0.0133
904,0.0133
905,0.0133
906,0.0132
907,0.0132
908,0.0132
909,0.0132
910,0.0132
911,0.0132
912,0.0132
913,0.0131
914,0.0131
915,0.0131
916,0.0131
917,0.0131
918,0.0131
919,0.0131
920,0.0130
921,0.0130
922,0.0130
923,0.0130
924,0.0130
925,0.0130
926,0.0130
927,0.0129
928,0.0129
929,0.0129
930,0.0129
931,0.0129
932,0.0139
933,0.0139
934,0.0139
935,0.0139
936,0.0139
937,0.0139
938,0.0139
939,0.0138
940,0.0138
941,0.0138
942,0.0138
943,0.0138
944,0.0138
945,0.0138
946,0.0137
947,0.0137
948,0.0137
949,0.0137
950,0.0137
951,0.0137
952,0.0137
953,0.0136
954,0.0136
955,0.0136
956,0.0136
957,0.0136
958,0.0146
959,0.0146
960,0.0146
961,0.0146
962,0.0146
963,0.0145
964,0.0145
965,0.0145
966,0.0145
967,0.0145
968,0.0145
969,0.0144
970,0.0144
971,0.0144
972,0.0144
973,0.0144
974,0.0144
975,0.0144
976,0.0143
977,0.0143
978,0.0143
979,0.0143
980,0.0143
981,0.0143
982,0.0143
983,0.0142
984,0.0142
985,0.0142
986,0.0142
987,0.0142
988,0.0142
989,0.0142
990,0.0141
991,0.0141
992,0.0141
993,0.0141
994,0.0151
995,0.0151
996,0.0151
997,0.0150
998,0.0150
999,0.0150
1000,0.0150
1001,0.0150
1002,0.0150
1003,0.0150
1004,0.0149
1005,0.0149
1006,0.0149
1007,0.0149
1008,0.0149
1009,0.0149
1010,0.0149
1011,0.0148
1012,0.0148
1013,0.0148
1014,0.0158
1015,0.0158
1016,0.0157
1017,0.0157
1018,0.0157
1019,0.0157
1020,0.0157
1021,0.0157
1022,0.0157
1023,0.0156
1024,0.0156
1025,0.0156
1026,0.0156
1027,0.0156
1028,0.0156
1029,0.0155
1030,0.0155
1031,0.0155
1032,0.0155
1033,0.0155
1034,0.0155
1035,0.0155
1036,0.0154
1037,0.0154
1038,0.0154
1039,0.0154
